source_id,display_name,type,mean_citedness_2yr,works_count,h_index
S108875122,Applied Research in Quality of Life,journal,2.8508997429305913,,77
S108911230,Molecules,journal,5.850219281944548,,343
S10892749,IEEE Transactions on Instrumentation and Measurement,journal,4.2443796330052255,,199
S108953488,Nutrición Hospitalaria,journal,0.4393241167434716,,43
S109184716,Occupational Therapy In Health Care,journal,0.7133333333333334,,43
S109361689,The American Journal of the Medical Sciences,journal,0.3391832602092474,,235
S109446756,Psychological Studies,journal,0.9689922480620154,,42
S109512841,Trials,journal,2.2316194137433927,,133
S109517664,Epilepsy & Behavior,journal,2.599109131403118,,154
S109655379,Archives of Suicide Research,journal,2.12,,86
S109723506,Child Development,journal,2.5240963855421685,,486
S10978197,Estudos de Psicologia (Natal),journal,1.9841269841269842,,53
S109822313,G3 Genes Genomes Genetics,journal,2.7829181494661923,,122
S109998069,Drug and Alcohol Dependence,journal,0.9264334655607646,,234
S110062167,Sustainability The Journal of Record,journal,0.0,,23
S110154084,New Review of Academic Librarianship,journal,1.7777777777777777,,40
S110204754,Journal of Anxiety Disorders,journal,3.6377952755905514,,189
S110206669,Multimedia Tools and Applications,journal,5.438809831824062,,157
S110346167,British Journal of Educational Technology,journal,18.410596026490065,,182
S110368005,Comprehensive Psychiatry,journal,4.757142857142857,,179
S110533041,International Journal of Radiation Oncology*Biology*Physics,journal,0.9818401937046005,,347
S110667073,Theory & Psychology,journal,2.0074626865671643,,91
S110744938,Journal of Speech Language and Hearing Research,journal,2.283333333333333,,223
S110785341,Nutrients,journal,5.884069981583794,,329
S110812003,Gender Technology and Development,journal,2.1320754716981134,,47
S110868954,Psykhe (Santiago),journal,0.5538461538461539,,37
S110903667,Pediatric Reports,journal,2.2902298850574714,,34
S11097115,Public Health,journal,3.1108333333333333,,140
S111042112,Psychiatry and Clinical Neurosciences,journal,2.4178403755868545,,121
S111086706,Anais da Academia Brasileira de Ciências,journal,1.2133938706015892,,94
S111098860,Psychology Health & Medicine,journal,1.4224872231686543,,104
S111121700,Physiotherapy,journal,0.35032362459546923,,132
S111155417,Journal of the American Chemical Society,journal,16.376536971534446,,896
S111160002,Magnetic Resonance in Medicine,journal,2.7661612130885875,,325
S111163638,Journal of Molecular and Cellular Cardiology,journal,4.151282051282052,,219
S111213849,British Poultry Science,journal,1.7197231833910034,,139
S111448270,Arctic Antarctic and Alpine Research,journal,1.7737226277372262,,100
S111458355,Systematic and Applied Microbiology,journal,3.3452380952380953,,159
S111502347,Health Psychology Review,journal,7.783132530120482,,109
S111518026,International Journal of Occupational Medicine and Environmental Health,journal,1.7583333333333333,,67
S111521982,European Journal of Psychological Assessment,journal,4.358620689655172,,104
S111656376,Social Policy and Society,journal,1.0914285714285714,,72
S111893742,Journal of Language and Social Psychology,journal,1.9696969696969697,,104
S111957458,Pneumologie,journal,0.14277180406212664,,58
S112174522,Medical Education Online,journal,5.248201438848921,,84
S112180171,Journal of Renal Nutrition,journal,2.0412979351032448,,87
S112197712,Sexually Transmitted Infections,journal,2.1939890710382515,,140
S112292781,Historical Archaeology,journal,0.38953488372093026,,58
S112317789,Mental health and physical activity,journal,2.7474747474747474,,67
S112345165,European Sport Management Quarterly,journal,2.803738317757009,,81
S112414500,Journal of Mental Health,journal,2.703030303030303,,113
S11271929,Journal of Ecology,journal,4.847672778561354,,366
S112778392,The Annals of Applied Statistics,journal,1.5995145631067962,,113
S112952035,Social Indicators Research,journal,2.97007874015748,,204
S11296630,The Journal of the Acoustical Society of America,journal,0.8435918367346938,,373
